"","X","athlete_id","athlete_display_name","position","team_id","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"51",51,17,"Shandon Anderson","F",1610612748,2006,0.39680993538078,0.00672559212509797,59,0.551498554258034,-0.719639989753829,-0.859033464277995,0.719512195121951,-0.859033464277995,-0.721319431920576,-0.861038212545318,-0.861038212545318,"1973-12-31","2006-10-01",32,47
"52",52,18,"Derek Anderson","G",1610612757,2002,4.07900497543351,0.0558767804853905,73,4.58189599980202,0.348960491329267,0.377029328906023,0.890243902439024,0.377029328906023,0.349790362872972,0.377925951644057,0.377925951644057,"1974-07-18","2002-10-01",28,66
"53",53,18,"Derek Anderson","G",1610612757,2003,6.00024439442123,0.0769262101848875,78,6.30794923516078,0.933278077179561,0.985513308157608,0.951219512195122,0.985513308157609,0.935529656030114,0.987890907048919,0.987890907048919,"1974-07-18","2003-10-01",29,75
"54",54,18,"Derek Anderson","G",1610612757,2004,3.84233731027604,0.0753399472603144,51,6.17787567534578,0.259892450040306,0.997655445358719,0.621951219512195,0.997655445358719,0.260504682808687,1.00000563812156,1.00000563812156,"1974-07-18","2004-10-01",30,38
"55",55,18,"Derek Anderson","G",1610612757,2005,2.14897868327338,0.0457229507079442,47,3.74928195805143,-0.329099784184985,0.0677243379322508,0.573170731707317,0.0677243379322507,-0.329864244644005,0.0678816536794815,0.0678816536794813,"1974-07-18","2005-10-01",31,34
"56",56,18,"Derek Anderson","G",1610612748,2006,1.75148732571389,0.0350297465142778,50,2.87243921417078,-0.426626536931769,-0.234223977766518,0.609756097560976,-0.234223977766518,-0.427622166143289,-0.234770592226978,-0.234770592226978,"1974-07-18","2006-10-01",32,37
"57",57,25,"Metta World Peace","F",1610612754,2002,3.60586876144411,0.0600978126907351,60,4.92802064064028,0.20043820437565,0.522543096033824,0.731707317073171,0.522543096033824,0.200914871408783,0.523785768647293,0.523785768647294,"1979-11-13","2002-10-01",22,48
"58",58,25,"Metta World Peace","F",1610612754,2003,5.73213389188414,0.0764284518917885,75,6.26713305512666,0.84209013115259,0.978022452331132,0.914634146341463,0.978022452331132,0.844121714638717,0.980381979167646,0.980381979167646,"1979-11-13","2003-10-01",23,70
"59",59,25,"Metta World Peace","F",1610612754,2004,8.35272607253549,0.0949173417333579,88,7.78322202213535,1.7121737174106,1.54288046349428,1.07317073170732,1.54288046349428,1.71620711220447,1.54651505148366,1.54651505148366,"1979-11-13","2004-10-01",24,92
"60",60,25,"Metta World Peace","F",1610612754,2005,0.944938787162749,0.134991255308964,7,11.0692829353351,-0.655919917875926,2.54829496951122,0.0853658536585366,2.54829496951122,-0.657443543431445,2.55421436185278,2.55421436185278,"1979-11-13","2005-10-01",25,6
"61",61,25,"Metta World Peace","F",1610612758,2006,4.67186658051682,0.0791841793307936,59,6.49310270512508,0.544567327777516,1.02557314156992,0.719512195121951,1.02557314156992,0.545838198415507,1.02796654772238,1.02796654772238,"1979-11-13","2006-10-01",26,47
