"","player_id","season","fantasy_points_season","games_played","position","goals","assists","points","penalty_minutes","shots_on_goal","blocks","giveaways","takeaways","powerplay_goals","shorthanded_goals","shots","shots_blocked","faceoffs_won","faceoffs_lost","fpts.game","fpts.season","pct.season.played","goals_per_game","assists_per_game","points_per_game","shots_per_game","shots_on_goal_per_game","pp_goals_per_game","sh_goals_per_game","blocks_per_game","takeaways_per_game","giveaways_per_game","pim_per_game","shots_blocked_per_game","faceoffs_taken","faceoff_win_pct","position_value","minutes_played","shots_against","goals_against","saves","save_percent","shutout","fantasy_points","minutes_per_game","saves_per_game","shots_against_per_game","goals_against_avg","estimated_wins","win_pct","quality_start_threshold","is_quality_start","league_avg_save_pct","expected_goals_against","gsaa","birth_year","player_name","age"
"116",431609,2018,5.5,17,"Defense",1,1,2,6,1,0,0,0,0,0,0,0,0,0,0.323529411764706,9.70588235294118,0.566666666666667,0.0588235294117647,0.0588235294117647,0.117647058823529,0,0.0588235294117647,0,0,0,0,0,0.352941176470588,0,0,NA,0.411764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Lexi Bender",25
"117",431609,2019,16,17,"Defense",0,8,8,8,0,0,0,0,0,0,0,0,0,0,0.941176470588235,28.2352941176471,0.566666666666667,0,0.470588235294118,0.470588235294118,0,0,0,0,0,0,0,0.470588235294118,0,0,NA,1.41176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Lexi Bender",26
"118",431609,2020,63.5,25,"Defense",4,9,13,20,44,11,10,10,2,0,70,24,0,0,2.54,76.2,0.833333333333333,0.16,0.36,0.52,2.8,1.76,0.08,0,0.44,0.4,0.4,0.8,0.96,0,NA,5.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Lexi Bender",27
"119",431610,2019,43,17,"Forward",6,11,17,6,6,0,0,0,0,0,6,0,0,0,2.52941176470588,75.8823529411765,0.566666666666667,0.352941176470588,0.647058823529412,1,0.352941176470588,0.352941176470588,0,0,0,0,0,0.352941176470588,0,0,NA,3.88235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"McKenna Brand",23
"120",431610,2020,175,25,"Forward",19,18,37,14,141,2,13,20,1,0,182,33,5,8,7,210,0.833333333333333,0.76,0.72,1.48,7.28,5.64,0.04,0,0.08,0.8,0.52,0.56,1.32,13,38.4615384615385,9.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"McKenna Brand",24
"121",431610,2021,39,9,"Forward",4,5,9,6,29,0,11,4,1,0,44,15,4,6,4.33333333333333,130,0.3,0.444444444444444,0.555555555555556,1,4.88888888888889,3.22222222222222,0.111111111111111,0,0,0.444444444444444,1.22222222222222,0.666666666666667,1.66666666666667,10,40,5.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"McKenna Brand",25
"122",431610,2022,96.5,23,"Forward",5,13,18,6,91,6,24,13,0,1,100,9,13,15,4.19565217391304,125.869565217391,0.766666666666667,0.217391304347826,0.565217391304348,0.782608695652174,4.34782608695652,3.95652173913043,0,0.0434782608695652,0.260869565217391,0.565217391304348,1.04347826086957,0.260869565217391,0.391304347826087,28,46.4285714285714,5.06521739130435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"McKenna Brand",26
"123",431610,2023,57,26,"Forward",4,8,12,6,50,6,6,1,0,1,54,4,74,153,2.19230769230769,65.7692307692308,0.866666666666667,0.153846153846154,0.307692307692308,0.461538461538462,2.07692307692308,1.92307692307692,0,0.0384615384615385,0.230769230769231,0.0384615384615385,0.230769230769231,0.230769230769231,0.153846153846154,227,32.5991189427313,1.93764825482887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"McKenna Brand",27
"124",431612,2019,7.5,15,"Defense",1,2,3,6,1,0,0,0,0,0,1,0,0,0,0.5,15,0.5,0.0666666666666667,0.133333333333333,0.2,0.0666666666666667,0.0666666666666667,0,0,0,0,0,0.4,0,0,NA,0.686666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"Lauren Kelly",23
"125",431612,2020,80.5,24,"Defense",2,11,13,25,61,24,8,20,0,0,96,31,0,0,3.35416666666667,100.625,0.8,0.0833333333333333,0.458333333333333,0.541666666666667,4,2.54166666666667,0,0,1,0.833333333333333,0.333333333333333,1.04166666666667,1.29166666666667,0,NA,8.40833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"Lauren Kelly",24
"126",431612,2021,22,9,"Defense",2,1,3,6,13,10,12,3,2,0,27,14,0,1,2.44444444444444,73.3333333333333,0.3,0.222222222222222,0.111111111111111,0.333333333333333,3,1.44444444444444,0.222222222222222,0,1.11111111111111,0.333333333333333,1.33333333333333,0.666666666666667,1.55555555555556,1,0,7.06666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"Lauren Kelly",25
"127",431612,2022,40.5,21,"Defense",0,3,3,10,27,15,14,27,0,0,36,9,1,0,1.92857142857143,57.8571428571429,0.7,0,0.142857142857143,0.142857142857143,1.71428571428571,1.28571428571429,0,0,0.714285714285714,1.28571428571429,0.666666666666667,0.476190476190476,0.428571428571429,1,100,4.49047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"Lauren Kelly",26
"128",431612,2023,0,2,"Defense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"Lauren Kelly",27
"129",431614,2020,34.5,25,"Defense",1,6,7,4,27,9,7,3,0,0,46,18,1,0,1.38,41.4,0.833333333333333,0.04,0.24,0.28,1.84,1.08,0,0,0.36,0.12,0.28,0.16,0.72,1,100,3.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,"Briana Mastel",26
"130",431614,2021,7,8,"Defense",0,0,0,2,5,7,0,2,0,0,11,6,0,0,0.875,26.25,0.266666666666667,0,0,0,1.375,0.625,0,0,0.875,0.25,0,0.25,0.75,0,NA,4.0375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,"Briana Mastel",27
"131",431616,2020,136.5,25,"Forward",9,21,30,12,102,10,22,21,2,0,126,19,5,3,5.46,163.8,0.833333333333333,0.36,0.84,1.2,5.04,4.08,0.08,0,0.4,0.84,0.88,0.48,0.76,8,62.5,7.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,"Christina Putigna",23
"132",431616,2021,45,9,"Forward",2,10,12,2,27,4,7,6,1,0,34,7,0,0,5,150,0.3,0.222222222222222,1.11111111111111,1.33333333333333,3.77777777777778,3,0.111111111111111,0,0.444444444444444,0.666666666666667,0.777777777777778,0.222222222222222,0.777777777777778,0,NA,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,"Christina Putigna",24
