"","X","athlete_display_name","athlete_id","position","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"920",920,"Tan White",622,"G",2010,1.93554398854235,0.0569277643688927,34,2.50482163223128,0.246852234791772,0.245460952683832,0.772727272727273,0.245460952683832,0.246852234791772,0.245460952683832,0.245460952683832,"1982-09-27","2010-05-01",27,54
"921",921,"Tan White",622,"G",2011,1.46355224131564,0.0406542289254343,36,1.78878607271911,-0.141813586022002,-0.138072278988501,0.818181818181818,-0.138072278988501,-0.141813586022002,-0.138072278988501,-0.138072278988501,"1982-09-27","2011-05-01",28,68
"922",922,"Tan White",622,"G",2012,0.882497120838602,0.0252142034525315,35,1.10942495191139,-0.38399030734885,-0.396459793794376,0.795454545454545,-0.396459793794376,-0.38399030734885,-0.396459793794376,-0.396459793794376,"1982-09-27","2012-05-01",29,63
"923",923,"Tan White",622,"G",2013,0.400027917543329,0.0181830871610604,22,0.800055835086657,-0.762944077742163,-0.719235798482507,0.5,-0.719235798482507,-0.762944077742163,-0.719235798482507,-0.719235798482507,"1982-09-27","2013-05-01",30,21
"924",924,"Tan White",622,"G",2014,0.74085160122501,0.0189961949032054,39,0.835832575741037,-0.46701308120141,-0.55587749442502,0.886363636363636,-0.55587749442502,-0.46701308120141,-0.55587749442502,-0.55587749442502,"1982-09-27","2014-05-01",31,84
"925",925,"Angelina Williams",625,NA,2006,0.167404351684719,0.00669617406738878,25,0.294631658965106,-0.632042074345621,-0.650020259806411,0.568181818181818,-0.650020259806411,-0.632042074345621,-0.650020259806411,-0.650020259806411,"1983-07-21","2006-05-01",22,47
"926",926,"Sandora Irvin",626,NA,2006,0.0177048203460965,0.00295080339101609,6,0.129835349204708,-0.768941363106936,-0.770848706541775,0.136363636363636,-0.770848706541775,-0.768941363106936,-0.770848706541775,-0.770848706541775,"1982-02-23","2006-05-01",24,10
"927",927,"Sandora Irvin",626,NA,2007,0.0542102635267322,0.00271051317633661,20,0.119262579758811,-0.853698988744569,-0.806778366864197,0.454545454545455,-0.806778366864197,-0.853698988744569,-0.806778366864197,-0.806778366864197,"1982-02-23","2007-05-01",25,32
"928",928,"Sandora Irvin",626,NA,2008,0.128577212373886,0.00803607577336789,16,0.353587334028187,-0.574303859609148,-0.374254216591157,0.363636363636364,-0.374254216591157,-0.574303859609148,-0.374254216591157,-0.374254216591157,"1982-02-23","2008-05-01",26,24
"929",929,"Sandora Irvin",626,NA,2010,0.021886457354032,0.00121591429744622,18,0.0535002290876339,-0.714302659389053,-0.728749189398005,0.409090909090909,-0.728749189398004,-0.714302659389053,-0.728749189398005,-0.728749189398004,"1982-02-23","2010-05-01",28,27
"930",930,"Sandora Irvin",626,NA,2011,0.301492096106423,0.00913612412443705,33,0.40198946147523,-0.0209586501519938,0.087070971312498,0.75,0.087070971312498,-0.0209586501519937,0.087070971312498,0.087070971312498,"1982-02-23","2011-05-01",29,79
"931",931,"Anna Montanana",631,NA,2009,0.28625892922792,0.0190839286151946,15,0.839692859068565,-0.430832648137664,-0.0606377360713865,0.340909090909091,-0.0606377360713867,-0.430832648137664,-0.0606377360713866,-0.0606377360713866,"1980-10-24","2009-05-01",28,23
"932",932,"Jamie Carey",632,NA,2006,0.313944140625688,0.0125577656250275,25,0.552541687501211,-0.498032350321347,-0.460920951752733,0.568181818181818,-0.460920951752733,-0.498032350321347,-0.460920951752733,-0.460920951752733,"1981-03-12","2006-05-01",25,48
"933",933,"Jamie Carey",632,NA,2007,0.570144753833089,0.0162898501095168,35,0.71675340481874,-0.184580830781845,-0.281119780593225,0.795454545454545,-0.281119780593225,-0.184580830781845,-0.281119780593225,-0.281119780593225,"1981-03-12","2007-05-01",26,89
"934",934,"Jamie Carey",632,NA,2008,0.923461736189456,0.0288581792559205,32,1.2697598872605,0.444285084523375,0.455327136305034,0.727272727272727,0.455327136305034,0.444285084523375,0.455327136305034,0.455327136305034,"1981-03-12","2008-05-01",27,76
