"","season","player_id","player_name","team_id","position_group","player_quality_score","goals_above_replacement_per_96","position_value","age","pct.season.played","minutes_played"
"75","2016","EGMPn7Dxqa","Catherine Zimmerman","raMyrr25d2","Offense",34,0.0689142857142857,0,21,0.121527777777778,280
"76","2016","EGMPn8O3qa","Janice Cayman","xW5pwDBMg1","Defense",74,0.240880733944954,0,27,0.0473090277777778,109
"77","2016","EGMPnYB4qa","Meleana Shim","Pk5LeeNqOW","Offense",29,0.0231119182746879,0.108967082860386,24,0.382378472222222,881
"78","2016","KAqB9G4A5b","Jeon Ga-Eul","xW5pwDBMg1","Midfield",65.8,0.384527472527473,0,27,0.0394965277777778,91
"79","2016","KAqB9Y8X5b","Shelina Zadorsky","aDQ0lzvQEv","Defense",38.2,0.0767459807073955,0.0771704180064309,23,0.539930555555556,1244
"80","2016","KAqBjNlAqb","Meghan Klingenberg","Pk5LeeNqOW","Defense",38.8,0.0350223411371237,0,27,0.648871527777778,1495
"81","2016","KPqj7gByQ6","Sarah Gorden","KPqjw8PQ6v","Defense",28.6,0.0685056,0,23,0.0542534722222222,125
"82","2016","KPqj7gN2Q6","Toni Pressley","XVqKeVKM01","Defense",44.2,0.120301075268817,0,25,0.484375,1116
"83","2016","KPqjoKrBQ6","Christie Pearce","raMyrr25d2","Defense",38.4,0.08380726342711,0,40,0.848524305555556,1955
"84","2016","KXMeO371q6","Desiree Scott","kRQaWa15KZ","Midfield",38.8,0.0868183161004431,0,28,0.587673611111111,1354
"85","2016","KXMeO8mvq6","Natasha Dowie","4wM4Ezg5jB","Offense",50,0.110578328173375,0.445820433436532,27,0.280381944444444,646
"86","2016","KXMeOYn1q6","Kimberly DeCesare","raMyrr25d2","Offense",34.6,0.127310769230769,0,24,0.112847222222222,260
"87","2016","KXMekJVvq6","Meredith Speck","xW5pwDBMg1","Defense",67.6,0.157968123393316,0.246786632390745,23,0.168836805555556,389
"88","2016","KXMekJykq6","Julie King","4wM4Ezg5jB","Defense",55.8,0.0661718482252142,0.17625458996328,26,0.709201388888889,1634
"89","2016","KXMekKxXq6","Camille Levin","XVqKeVKM01","Defense",53.2,0.0557009836065574,0.104918032786885,25,0.397135416666667,915
"90","2016","N6Mm7odPqE","Megan Rapinoe","7vQ7BBzqD1","Offense",72.2,0.212029090909091,0.872727272727273,30,0.0954861111111111,220
"91","2016","N6MmeONPME","Jen Buczkowski","kRQaWa15KZ","Midfield",35,0.0613668161434978,0,30,0.193576388888889,446
"92","2016","N6MmeeVPME","Taylor Comeau","KPqjw8PQ6v","Offense",39.4,0.0448788177339901,0.236453201970443,22,0.352430555555556,812
"93","2016","N6MmekVeME","Elli Reed","7vQ7BBzqD1","Defense",32.2,0.022046511627907,0,26,0.597222222222222,1376
"94","2016","NPqxe0LZQ9","Morgan Marlborough","4wM4Ezg5jB","Offense",67.4,0.573511111111111,0,25,0.01171875,27
"95","2016","NWMWVGveQl","Alex Arlitt","kRQaWa15KZ","Defense",41.8,0.072080724450194,0,22,0.335503472222222,773
"96","2016","NWMWVXpDQl","Jannelle Flaws","KPqjw8PQ6v","Offense",48.4,0.103064150943396,0,24,0.0230034722222222,53
"97","2016","NWMWVy3KQl","Megan Crosson","4JMAk47qKg","Defense",15.8,-0.0213410071942446,0,21,0.0603298611111111,139
"98","2016","Oa5wVW4AM1","Tori Huster","aDQ0lzvQEv","Midfield",30.4,0.0315508228460794,0.0929332042594385,26,0.896701388888889,2066
